Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.61971,99.50126,101.535,103.4765,105.0414,106.0356,106.9465,108.4623,108.7336,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,157.1677,153.0132,150.3115,..
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.66548,..,95.26338,92.99245,102.0686,100.838,100.0671,101.5363,100.8277,..
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.45141,88.1734,..,..,..,..,..,..,..,..
France,FRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,106.23923,106.4249,106.6106,105.8136,104.3766,103.4258,103.396,103.3081,103.76,..
Germany,DEU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.15825,103.9748,103.7624,102.1676,100.8109,99.71072,98.82264,98.812,98.40928,..
India,IND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,59.61365,63.1162,66.2507,69.01283,68.75912,74.14153,73.86563,75.0918,73.47688,..
Indonesia,IDN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,74.62765,76.42625,79.11448,80.45233,82.63764,82.68238,86.12275,84.95212,87.05922,88.91017
Italy,ITA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.41655,102.9038,103.3316,102.0333,102.409,102.2811,102.2563,101.6624,101.2704,..
Japan,JPN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.97579,96.36496,96.89766,97.80176,99.36505,99.86733,100.0078,100.485,100.3382,..
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.93801,87.06992,88.19018,90.6672,93.32755,97.34338,100.8327,102.4041,104.385,..
Netherlands,NLD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,120.60619,122.0791,128.1791,128.9925,..,..,133.5459,132.6917,135.5751,..
Russian Federation,RUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.77162,..,91.82773,95.6072,97.68348,98.8161,102.1796,102.3967,103.3848,..
Saudi Arabia,SAU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,94.78735,..,..,..,114.6835,117.8355,..,..,..,..
Spain,ESP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,115.02879,119.116,120.9333,122.8375,123.1873,123.3749,124.9607,126.1905,126.0045,..
Switzerland,CHE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.60131,96.11023,96.41895,96.48052,98.89136,..,101.4737,102.5654,102.4874,..
Turkey,TUR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,80.04035,84.28303,88.3383,85.18469,100.4837,102.871,102.8377,102.7405,105.9923,..
United Kingdom,GBR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.16977,102.9047,93.76583,91.55276,123.7763,126.3899,124.524,..,125.8519,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.22326,94.84594,95.99382,96.25171,96.18649,96.92454,97.65255,98.76993,98.95234,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,44.42038,50.56725,51.75691,53.61805,53.57513,52.5829,52.59281,50.6454,53.79764,..
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.69499,88.10389,89.79816,92.28983,96.25608,97.68487,97.38848,95.715,95.26589,95.43233
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.87783,96.93728,99.61435,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,22.69255,26.25922,26.48254,..,..,..,..,50.67148,..,..
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,116.04285,112.7958,110.9229,109.5244,..,106.9801,108.2302,..,109.2087,111.196
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.12562,104.7133,93.13488,..,85.89755,85.88351,86.00589,..,..,83.15068
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.73602,95.82354,97.02788,111.1598,..,..,..,..,..,..
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.64985,98.80721,98.06147,97.84332,99.19738,99.66308,100.321,100.963,100.4552,..
Azerbaijan,AZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,94.48008
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.24461,89.35463,84.98634,85.76167,76.89482,81.41914,66.3884,73.40247,..,..
Bahrain,BHR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.98146,92.85565,95.2978,91.672,96.67334,98.9424,102.1602,103.8538,102.2034,98.59907
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,49.99824,51.6377,52.43137,55.20997,60.16874,..,65.62919,71.41584,69.66317,72.6906
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.22714,101.9078,103.6359,..,..,108.1238,107.5281,106.5098,106.3275,103.7039
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,110.7479,108.2254,107.3914,107.2134,105.4283,105.5231,105.469,104.7959,103.5135,102.4395
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,156.63837,156.8615,156.6332,157.7948,160.9192,162.2993,163.9347,161.0332,158.5419,..
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,74.39433,75.30958,75.95183,78.31773,80.07403,79.76219,80.65795,87.0061,84.04008,85.37246
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,49.12759,..,55.96562,56.23654,58.84676,59.04252,..,..
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,77.37303,76.69093,76.49402,77.01531,76.77734,76.95238,..,..,..
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,59.5779,63.56648,67.24879,71.69738,75.61265,82.71892,84.01727,85.34537,87.8676,90.09468
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.46188,82.6496,81.85408,82.38936,84.0897,84.63013,85.40379,85.28072,90.39978,..
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,106.93833,108.098,99.53416,96.63866,94.50287,92.76377,93.06703,92.32864,101.5766,..
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.20404,99.17564,101.4305,106.2648,104.9133,99.59155,96.41472,94.05418,92.93732,93.48278
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.74194,90.2262,93.75526,94.69573,101.4532,104.1488,102.2723,99.67708,..,..
Burkina Faso,BFA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.29426,21.90269,23.83593,25.93309,28.36596,30.35403,33.71873,35.78715,38.11725,40.70973
Burundi,BDI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.12478,23.29063,26.1225,28.71599,33.41147,39.41126,44.34693,47.47817,49.25443,48.46502
Cabo Verde,CPV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.99077,86.94371,89.976,93.03401,96.65943,95.14744,94.72112,93.68711,92.64199,88.15511
Cambodia,KHM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,40.47854,..,48.31893,51.58778,53.40638,57.51035,59.03209,60.05816,..,..
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.73444,102.3985,103.349,109.9875,109.486,109.3331,110.3565,112.5143,113.7629,..
Cayman Islands,CYM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,13.61706,..,17.62453,17.39388,..,..,..,15.03944,17.13538,..
Chad,TCD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,22.99272,22.58857,23.06594,22.32109,24.67565,23.03966,22.41506,22.5566,..,..
Channel Islands,CHI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.97956,90.00819,90.46908,89.50108,99.59392,100.6821,101.7809,101.7775,101.8314,..
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.26943,97.54612,99.15143,95.40426,96.1404,94.98767,94.71927,95.01463,95.73023,97.50623
Comoros,COM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,59.98247,61.09057,..,..,55.51029,..
"Congo, Dem. Rep.",COD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,41.5039,41.21021,43.32061,43.22606,42.90814,45.50179,46.16579,..,..,..
"Congo, Rep.",COG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,52.59282,..,..,..,..,..,..
Costa Rica,CRI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.09202,101.0797,103.8047,107.4917,114.3927,120.1272,122.7866,125.8162,128.9296,132.8169
Cote d'Ivoire,CIV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,38.9374,42.45389,45.03581,48.44685,51.02666
Croatia,HRV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.84746,99.901,99.19125,98.91718,99.34799,98.70238,98.65387,98.87111,..,..
Cuba,CUB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.77958,92.24871,91.52573,90.18882,90.97797,97.00201,97.89115,100.1145,101.3092,101.1372
Curacao,CUW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,87.21238,..,..,..,..,..
