Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2017 [YR2017]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.45,7.449,7.466,7.485,5.977,4.633
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.245,153.4138,162.8354,153.951,113.715,68.957
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.91,3.621,2.978,2.157,1.66,1.638
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,35.7928,20.1928,17.7766,19.0372,19.8208,19.642
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.643,6.794,4.726,2.514,2.86,3.045
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,108.0202,68.8004,27.8012,11.7556,10.8084,10.071
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,1.27,..
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.434,7.459,7.272,6.639,6.194,5.6
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,222.6,223.68,216.6,196.6992,172.9316,150.526
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.683,2.118,2.067,2.2,1.988,1.999
Antigua and Barbuda,ATG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,146.0664,100.5568,76.3978,61.9748,48.664,42.782
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.079,3.301,2.997,2.542,2.346,2.275
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.2076,77.729,73.493,66.3552,63.3154,62.782
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.199,2.51,2.544,1.648,1.722,1.75
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,41.3496,45.0596,74.2962,39.3926,26.0192,21.49
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.908,2.392,2.249,1.872,1.768,1.886
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.789,54.1226,50.27,43.593,30.652,22.674
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.859,1.891,1.902,1.756,1.928,1.765
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,48.5648,28.389,20.965,17.9326,14.2212,11.715
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.29,1.65,1.46,1.36,1.44,1.53
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.3398,33.3698,20.787,13.9232,9.5292,7.34
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.018,3.497,2.74,2,1.92,1.9
Azerbaijan,AZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,38.0128,19.3488,32.7924,36.5066,44.938,55.838
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.536,2.986,2.64,2.073,1.865,1.762
"Bahamas, The",BHS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,80.5856,87.9084,69.7042,51.222,35.4638,30.001
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.501,4.916,3.732,2.795,2.164,2.01
Bahrain,BHR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,79.3224,57.0686,26.4034,17.583,14.3106,13.368
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.947,6.359,4.495,3.169,2.324,2.062
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,206.2974,192.5052,153.9614,112.2538,90.8034,82.962
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.113,2.004,1.74,1.775,1.687,1.615
Barbados,BRB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,95.522,70.3464,54.7198,51.1212,44.5574,33.55
